id;año;mes;horas_observadas
1023;2023;1;744
1023;2023;2;672
1023;2023;3;740
1023;2023;4;720
1023;2023;5;744
1023;2023;6;720
1023;2023;7;744
1023;2023;8;743
1023;2023;9;720
1023;2023;10;744
1023;2023;11;720
1023;2023;12;744
1023;2024;1;744
1023;2024;2;694
1023;2024;3;742
1023;2024;4;720
1023;2024;5;744
1023;2024;6;720
1023;2024;7;744
1023;2024;8;744
1023;2024;9;720
1023;2024;10;9
1023;2024;11;162
1023;2024;12;646
1024;2023;1;744
1024;2023;2;672
1024;2023;3;740
1024;2023;4;720
1024;2023;5;744
1024;2023;6;720
1024;2023;7;744
1024;2023;8;743
1024;2023;9;720
1024;2023;10;744
1024;2023;11;720
1024;2023;12;744
1024;2024;1;744
1024;2024;2;694
1024;2024;3;742
1024;2024;4;720
1024;2024;5;744
1024;2024;6;720
1024;2024;7;744
1024;2024;8;744
1024;2024;9;720
1024;2024;10;9
1024;2024;11;279
1024;2024;12;744
1025;2023;1;744
1025;2023;2;672
1025;2023;3;740
1025;2023;4;720
1025;2023;5;744
1025;2023;6;720
1025;2023;7;744
1025;2023;8;743
1025;2023;9;720
1025;2023;10;744
1025;2023;11;720
1025;2023;12;744
1025;2024;1;744
1025;2024;2;694
1025;2024;3;742
1025;2024;4;720
1025;2024;5;744
1025;2024;6;720
1025;2024;7;744
1025;2024;8;744
1025;2024;9;720
1025;2024;10;9
1025;2024;11;279
1025;2024;12;744
1026;2023;1;744
1026;2023;2;672
1026;2023;3;740
1026;2023;4;720
1026;2023;5;744
1026;2023;6;720
1026;2023;7;744
1026;2023;8;743
1026;2023;9;720
1026;2023;10;744
1026;2023;11;720
1026;2023;12;744
1026;2024;1;744
1026;2024;2;694
1026;2024;3;742
1026;2024;4;720
1026;2024;5;744
1026;2024;6;720
1026;2024;7;744
1026;2024;8;744
1026;2024;9;720
1026;2024;10;9
1026;2024;11;279
1026;2024;12;744
1027;2023;1;744
1027;2023;2;672
1027;2023;3;740
1027;2023;4;720
1027;2023;5;744
1027;2023;6;720
1027;2023;7;744
1027;2023;8;743
1027;2023;9;720
1027;2023;10;744
1027;2023;11;720
1027;2023;12;744
1027;2024;1;744
1027;2024;2;694
1027;2024;3;742
1027;2024;4;720
1027;2024;5;744
1027;2024;6;720
1027;2024;7;744
1027;2024;8;744
1027;2024;9;720
1027;2024;10;9
1027;2024;11;264
1027;2024;12;715
1028;2023;1;744
1028;2023;2;672
1028;2023;3;740
1028;2023;4;720
1028;2023;5;744
1028;2023;6;720
1028;2023;7;744
1028;2023;8;743
1028;2023;9;720
1028;2023;10;744
1028;2023;11;720
1028;2023;12;744
1028;2024;1;744
1028;2024;2;694
1028;2024;3;742
1028;2024;4;720
1028;2024;5;744
1028;2024;6;720
1028;2024;7;744
1028;2024;8;744
1028;2024;9;720
1028;2024;10;9
1028;2024;11;279
1028;2024;12;744
1029;2023;1;744
1029;2023;2;672
1029;2023;3;740
1029;2023;4;720
1029;2023;5;744
1029;2023;6;720
1029;2023;7;744
1029;2023;8;743
