archivo;registros_leidos;registros_validos;registros_horarios;horas_incompletas_excluidas
01-2023.csv;12644350;148800;37200;0
01-2024.csv;13343452;146121;36471;155
02-2023.csv;11388974;134100;33449;117
02-2024.csv;12532935;138662;34585;176
03-2023.csv;12732652;145817;36342;215
03-2024.csv;13451928;148498;37050;135
04-2023.csv;12438772;143561;35847;80
04-2024.csv;13010780;143927;35951;45
05-2023.csv;12926315;148321;37048;58
05-2024.csv;13357035;148193;36927;201
06-2023.csv;12485567;143416;35816;67
06-2024.csv;12918338;143431;35838;49
07-2023.csv;12945236;148510;37095;59
07-2024.csv;13351339;143219;35788;35
08-2023.csv;12744711;148016;36809;327
08-2024.csv;13214710;143980;35889;167
09-2023.csv;12518185;143827;35927;46
09_2024.csv;12779019;143277;35814;10
10-2023.csv;12946685;148665;37131;57
10-2024.csv;12918900;63488;15839;60
11-2023.csv;12774666;141516;35357;38
11-2024.csv;12513169;89984;22298;346
12-2023.csv;13224732;145828;36426;58
12-2024.csv;13296461;146278;36189;641
