año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;0;0;203,613;50903,25;2,370560109289617;25,118;250
2023;1;0;1;142,829;35707,25;2,0601659751037342;20,994;250
2023;1;0;2;119,499;29874,75;1,6809027777777779;19,414;250
2023;1;0;3;109,826;27456,5;1,4090909090909092;18,085;250
2023;1;0;4;108,012;27003,0;1,3790983606557377;17,057;250
2023;1;0;5;125,973;31493,25;1,344744121715076;19,962;250
2023;1;0;6;226,585;56646,25;2,576502732240437;25,509;250
2023;1;0;7;478,518;119629,5;5,909836065573771;28,296;250
2023;1;0;8;650,771;162692,75;9,040642076502731;28,003;250
2023;1;0;9;618,918;154729,5;9,282786885245901;28,258;250
2023;1;0;10;522,604;130651,0;7,192964480874316;28,377;250
2023;1;0;11;515,606;128901,5;6,9381830601092895;28,252;250
2023;1;0;12;526,864;131716,0;6,924863387978142;28,438;250
2023;1;0;13;548,99;137247,5;6,882172131147541;28,48;250
2023;1;0;14;638,597;159649,25;8,023565573770492;28,485;250
2023;1;0;15;645,308;161327,0;7,926229508196721;28,467;250
2023;1;0;16;569,087;142271,75;7,258879781420766;28,401;250
2023;1;0;17;622,935;155733,75;8,065573770491802;28,206;250
2023;1;0;18;662,321;165580,25;9,412568306010929;27,699;250
2023;1;0;19;659,867;164966,75;8,966188524590164;27,766;250
2023;1;0;20;574,403;143600,75;7,135587431693989;28,22;250
2023;1;0;21;469,746;117436,5;5,573428961748634;28,532;250
2023;1;0;22;347,121;86780,25;4,022199453551912;28,561;250
2023;1;0;23;255,803;63950,75;3,228142076502732;27,119;250
2023;1;1;0;186,992;46748,0;2,4361338797814205;23,695;250
2023;1;1;1;134,18;33545,0;1,9665300546448086;19,868;250
2023;1;1;2;116,402;29100,5;1,6877637130801688;19,063;250
2023;1;1;3;109,667;27416,75;1,4422268907563025;17,967;250
2023;1;1;4;111,42;27855,0;1,3312146892655368;18,367;250
2023;1;1;5;124,273;31068,25;1,3497899159663866;19,372;250
2023;1;1;6;209,564;52391,0;2,3963585434173673;23,927;250
2023;1;1;7;431,569;107892,25;5,518987341772152;25,665;250
2023;1;1;8;588,941;147235,25;8,9187675070028;25,409;250
2023;1;1;9;572,804;143201,0;9,327030812324931;25,3;250
2023;1;1;10;480,975;120243,75;6,860294117647059;25,623;250
2023;1;1;11;476,481;119120,25;6,57843137254902;25,784;250
2023;1;1;12;494,159;123539,75;7,061974789915967;25,729;250
2023;1;1;13;531,584;132896,0;7,5561224489795915;26,395;250
2023;1;1;14;678,413;169603,25;8,941836734693878;28,104;250
2023;1;1;15;679,11;169777,5;8,864285714285714;28,132;250
2023;1;1;16;609,491;152372,75;8,15952380952381;28,003;250
2023;1;1;17;657,289;164322,25;9,222448979591837;27,746;250
2023;1;1;18;705,272;176318,0;10,242857142857142;27,575;250
2023;1;1;19;714,264;178566,0;10,023469387755101;27,326;250
2023;1;1;20;633,97;158492,5;8,104421768707482;27,722;250
2023;1;1;21;502,191;125547,75;5,880612244897959;28,403;250
2023;1;1;22;350,945;87736,25;4,139455782312925;28,56;250
2023;1;1;23;241,35;60337,5;3,2062841530054644;27,229;250
2023;1;2;0;164,50875;32901,75;2,3329037800687282;23,185;200
2023;1;2;1;95,69875;19139,75;1,6247841105354057;19,31375;200
2023;1;2;2;61,5575;12311,5;1,1778929188255611;14,83125;200
2023;1;2;3;50,8625;10172,5;0,8320379965457686;13,7425;200
2023;1;2;4;50,225;10045,0;0,6631944444444444;14,1075;200
2023;1;2;5;69,78375;13956,75;0,950171821305842;16,76;200
2023;1;2;6;173,50625;34701,25;2,075993091537133;23,94875;200
2023;1;2;7;460,0325;92006,5;5,842735042735042;28,045;200
2023;1;2;8;659,8825;131976,5;9,677777777777779;27,22625;200
2023;1;2;9;648,12375;129624,75;10,053846153846154;27,39875;200
2023;1;2;10;548,92;109784,0;7,2615384615384615;27,68625;200
2023;1;2;11;523,8225;104764,5;6,817948717948718;27,64125;200
2023;1;2;12;550,9625;110192,5;7,114529914529914;27,94125;200
2023;1;2;13;573,3575;114671,5;7,691025641025641;27,885;200
2023;1;2;14;667,23;133446,0;8,915384615384616;27,93875;200
2023;1;2;15;671,89375;134378,75;8,461538461538462;28,1475;200
2023;1;2;16;604,10125;120820,25;7,696153846153846;28,2025;200
2023;1;2;17;648,76375;129752,75;8,735897435897435;27,61125;200
2023;1;2;18;688,175;137635,0;10,0517094017094;27,73875;200
2023;1;2;19;703,2975;140659,5;10,232051282051282;27,17875;200
2023;1;2;20;633,97;126794,0;8,36965811965812;27,36;200
2023;1;2;21;496,44875;99289,75;6,097435897435897;28,2375;200
2023;1;2;22;346,14;69228,0;4,107692307692307;28,105;200
2023;1;2;23;257,13625;51427,25;3,3115384615384613;27,03;200
2023;1;3;0;187,73;37546,0;2,5021588946459414;23,09;200
2023;1;3;1;107,3175;21463,5;1,531951640759931;19,835;200
2023;1;3;2;69,79625;13959,25;1,1580756013745703;16,05;200
2023;1;3;3;55,18625;11037,25;0,9377147766323024;14,81375;200
2023;1;3;4;56,39625;11279,25;1,0123931623931623;14,64625;200
2023;1;3;5;70,52375;14104,75;0,9540378006872853;16,7125;200
2023;1;3;6;175,5175;35103,5;2,064003436426117;24,41;200
2023;1;3;7;452,85125;90570,25;5,427777777777778;27,82875;200
2023;1;3;8;659,33125;131866,25;9,2;27,81125;200
2023;1;3;9;654,82;130964,0;9,426666666666666;28,015;200
2023;1;3;10;597,4375;119487,5;7,89;28,8375;200
2023;1;3;11;588,275;117655,0;7,38875;28,7075;200
2023;1;3;12;621,96875;124393,75;7,9625;28,74625;200
2023;1;3;13;654,84875;130969,75;8,395833333333334;29,12;200
2023;1;3;14;774,72125;154944,25;9,925;29,29375;200
2023;1;3;15;763,525;152705,0;9,5475;29,225;200
2023;1;3;16;678,60375;135720,75;8,56;29,46625;200
2023;1;3;17;735,4975;147099,5;9,86625;28,95375;200
2023;1;3;18;752,4825;150496,5;10,85125;28,71375;200
2023;1;3;19;753,33;150666,0;10,80625;27,97125;200
2023;1;3;20;681,57125;136314,25;8,99625;28,15375;200
2023;1;3;21;570,42125;114084,25;6,6466666666666665;29,22125;200
2023;1;3;22;392,515;78503,0;4,4991666666666665;29,73;200
2023;1;3;23;301,5575;60311,5;3,59375;28,11625;200
