archivo;registros_leidos;registros_validos;registros_horarios
01-2023.csv;12644350;148800;37200
01-2024.csv;13343452;146121;36626
02-2023.csv;11388974;134100;33566
02-2024.csv;12532935;138662;34761
03-2023.csv;12732652;145817;36557
03-2024.csv;13451928;148498;37185
04-2023.csv;12438772;143561;35927
04-2024.csv;13010780;143927;35996
05-2023.csv;12926315;148321;37106
05-2024.csv;13357035;148193;37128
06-2023.csv;12485567;143416;35883
06-2024.csv;12918338;143431;35887
07-2023.csv;12945236;148510;37154
07-2024.csv;13351339;143219;35823
08-2023.csv;12744711;148016;37136
08-2024.csv;13214710;143980;36056
09-2023.csv;12518185;143827;35973
09_2024.csv;12779019;143277;35824
10-2023.csv;12946685;148665;37188
10-2024.csv;12918900;63488;15899
11-2023.csv;12774666;141516;35395
11-2024.csv;12513169;89984;22644
12-2023.csv;13224732;145828;36484
12-2024.csv;13296461;146278;36830
