año;mes;dia_semana;hora;intensidad_media;intensidad_total;ocupacion_media;velocidad_media;registros
2023;1;0;0;814,452;203613;2,370560109289617;25,118;250
2023;1;0;1;571,316;142829;2,0601659751037342;20,994;250
2023;1;0;2;477,996;119499;1,6809027777777779;19,414;250
2023;1;0;3;439,304;109826;1,4090909090909092;18,085;250
2023;1;0;4;432,048;108012;1,3790983606557377;17,057;250
2023;1;0;5;503,892;125973;1,344744121715076;19,962;250
2023;1;0;6;906,34;226585;2,576502732240437;25,509;250
2023;1;0;7;1914,072;478518;5,909836065573771;28,296;250
2023;1;0;8;2603,084;650771;9,040642076502731;28,003;250
2023;1;0;9;2475,672;618918;9,282786885245901;28,258;250
2023;1;0;10;2090,416;522604;7,192964480874316;28,377;250
2023;1;0;11;2062,424;515606;6,9381830601092895;28,252;250
2023;1;0;12;2107,456;526864;6,924863387978142;28,438;250
2023;1;0;13;2195,96;548990;6,882172131147541;28,48;250
2023;1;0;14;2554,388;638597;8,023565573770492;28,485;250
2023;1;0;15;2581,232;645308;7,926229508196721;28,467;250
2023;1;0;16;2276,348;569087;7,258879781420766;28,401;250
2023;1;0;17;2491,74;622935;8,065573770491802;28,206;250
2023;1;0;18;2649,284;662321;9,412568306010929;27,699;250
2023;1;0;19;2639,468;659867;8,966188524590164;27,766;250
2023;1;0;20;2297,612;574403;7,135587431693989;28,22;250
2023;1;0;21;1878,984;469746;5,573428961748634;28,532;250
2023;1;0;22;1388,484;347121;4,022199453551912;28,561;250
2023;1;0;23;1023,212;255803;3,228142076502732;27,119;250
2023;1;1;0;747,968;186992;2,4361338797814205;23,695;250
2023;1;1;1;536,72;134180;1,9665300546448086;19,868;250
2023;1;1;2;465,608;116402;1,6877637130801688;19,063;250
2023;1;1;3;438,668;109667;1,4422268907563025;17,967;250
2023;1;1;4;445,68;111420;1,3312146892655368;18,367;250
2023;1;1;5;497,092;124273;1,3497899159663866;19,372;250
2023;1;1;6;838,256;209564;2,3963585434173673;23,927;250
2023;1;1;7;1726,276;431569;5,518987341772152;25,665;250
2023;1;1;8;2355,764;588941;8,9187675070028;25,409;250
2023;1;1;9;2291,216;572804;9,327030812324931;25,3;250
2023;1;1;10;1923,9;480975;6,860294117647059;25,623;250
2023;1;1;11;1905,924;476481;6,57843137254902;25,784;250
2023;1;1;12;1976,636;494159;7,061974789915967;25,729;250
2023;1;1;13;2126,336;531584;7,5561224489795915;26,395;250
2023;1;1;14;2713,652;678413;8,941836734693878;28,104;250
2023;1;1;15;2716,44;679110;8,864285714285714;28,132;250
2023;1;1;16;2437,964;609491;8,15952380952381;28,003;250
2023;1;1;17;2629,156;657289;9,222448979591837;27,746;250
2023;1;1;18;2821,088;705272;10,242857142857142;27,575;250
2023;1;1;19;2857,056;714264;10,023469387755101;27,326;250
2023;1;1;20;2535,88;633970;8,104421768707482;27,722;250
2023;1;1;21;2008,764;502191;5,880612244897959;28,403;250
2023;1;1;22;1403,78;350945;4,139455782312925;28,56;250
2023;1;1;23;965,4;241350;3,2062841530054644;27,229;250
2023;1;2;0;658,035;131607;2,3329037800687282;23,185;200
2023;1;2;1;382,795;76559;1,6247841105354057;19,31375;200
2023;1;2;2;246,23;49246;1,1778929188255611;14,83125;200
2023;1;2;3;203,45;40690;0,8320379965457686;13,7425;200
2023;1;2;4;200,9;40180;0,6631944444444444;14,1075;200
2023;1;2;5;279,135;55827;0,950171821305842;16,76;200
2023;1;2;6;694,025;138805;2,075993091537133;23,94875;200
2023;1;2;7;1840,13;368026;5,842735042735042;28,045;200
2023;1;2;8;2639,53;527906;9,677777777777779;27,22625;200
2023;1;2;9;2592,495;518499;10,053846153846154;27,39875;200
2023;1;2;10;2195,68;439136;7,2615384615384615;27,68625;200
2023;1;2;11;2095,29;419058;6,817948717948718;27,64125;200
2023;1;2;12;2203,85;440770;7,114529914529914;27,94125;200
2023;1;2;13;2293,43;458686;7,691025641025641;27,885;200
2023;1;2;14;2668,92;533784;8,915384615384616;27,93875;200
2023;1;2;15;2687,575;537515;8,461538461538462;28,1475;200
2023;1;2;16;2416,405;483281;7,696153846153846;28,2025;200
